dataStructure,K,numTrainingPoints,dim,AverageTime
KD, 10, 1000, 3, 3649
Bucket, 10, 1000, 3, 34545
KD, 10, 1000, 4, 4279
Bucket, 10, 1000, 4, 41506
KD, 10, 1000, 5, 5604
Bucket, 10, 1000, 5, 44538
KD, 10, 1000, 6, 6674
Bucket, 10, 1000, 6, 44236
KD, 10, 1000, 7, 6969
Bucket, 10, 1000, 7, 44532
KD, 10, 1000, 8, 9555
Bucket, 10, 1000, 8, 53353
KD, 10, 1000, 9, 10984
Bucket, 10, 1000, 9, 60832
